name,Email,Birthday,Nationality,Classification,PhoneNumber,Major,Gender,Department,Interest
xMTRZvUDpGeIFwI,xXBYIvfeluPyOQo,hvnmYBpHGnWdICq,sRiJGFKoeOAdGlF,IJwumYosqrnGpuh,znLILeBVTMETjBb,IUXINzJrGCxmlWf,Female,Male,Not important,Education,Education;Nursing & Health Sciences;Science & Engineering,Very important,4,2,Very important
BhVAGETylyuNDSz,TDkwrGgVGDqZPJI,bRwoTCigeVhAAQx,ICAGUyDfQtgDxBZ,JgAmcmsnQGCFNmg,wdZqyvkbRWlSRah,rVIqrBSqCWfuRYb,Female,Female,Very important,Education,Education;Fine Arts;Business;Communication,Very important,1,4,Not important
ANXHDObFBwctFWq,ZKTaTYgfGdqmVvn,sOtdABrDfnuTFow,oQlWkDlBudrMKHn,poaQAWkgLJdiMTE,YoydJsPIObpTVvS,KzHoqaOheKmjPyG,Male,Male,Not important,Liberal Arts,Liberal Arts;Honors College;Fine Arts;Business,Very important,3,4,Somewhat important
yXhshfXidYvDdrD,YtkSNtZkXPlJBWu,rxwyXrnPHENvFmG,FdImOjQvOxRKRLE,gMKyCwxbxODIHjT,xdyNQgLeoplIyKj,HsMogJuWUKXQqFm,Female,Male,Somewhat important,Fine Arts,Education,Not important,1,1,Not important
EGBIFOnrBxhXWYa,shUSkfCBQwgvSop,bGjZHMJzfuODdZh,QquAofvXPYhlGhJ,GXJLPsTrsXbOLzz,FSBavJbitowCUTU,ctksnrJbWZsTnRV,Female,Female,Very important,Science & Engineering,Education;Nursing & Health Sciences;Science & Engineering;Honors College;Business;Communication,Very important,1,4,Somewhat important
nfCNYamuajGUNZh,HVjeeFJiRZcZBhF,uBfmcONJHUTsEcZ,EFMjdvHBjRDRRhc,NEAdgKdcxtBwtmg,TWIQMHuMWjYXPzG,KmECfDYrCsMUvAK,Male,Male;Female,Not important,Science & Engineering,Liberal Arts;Education;Nursing & Health Sciences;Fine Arts,Somewhat important,1,1,Not important
GQilzYbCkRIgcWd,FnuKqiWWNxneWFV,gWSjOwcpJVKpYFS,INCkQlBVYFFLhwe,UGvkjGTHSOENwrN,BZTVTKrsNjxhSgz,ETwrsVUmqxUXyEE,Male,Male;Female,Not important,Communication,Liberal Arts;Education;Nursing & Health Sciences;Science & Engineering;Honors College;Fine Arts;Business;Communication,Not important,3,4,Very important
XqeZCQPcIyWFLAA,JKXUMjQYKmMoNfR,YAOPvuPcaqrXOqt,XeLUBLUAqqdDLbe,jjezPmsAtBRZidS,aDIBqBlkWJBDWpY,RlBMHMTLgCKrulE,Female,Female,Somewhat important,Fine Arts,Honors College;Communication,Very important,4,1,Not important
aOQxgLOwRnpEKfd,TryfErgOCAEAcNQ,iuAYnvoEiRoiLRj,IlgBGiWByTnxgoD,nJHXHkWMkVjrfTl,mogPjIorQRPIrJi,LSdwjArsBSRheuZ,Male,Male;Female,Not important,Nursing & Health Sciences,Education;Nursing & Health Sciences;Fine Arts;Communication,Somewhat important,3,2,Very important
XuEIXHESlVXDUuQ,sLdpmZQvIcACDNz,WlHyTZbkaCqTlHD,JBlwjQAJNkHKvgQ,QHqyUmMmmjVRtDA,ohOEULbzdjJNyfp,WkrofOMLeuSQzlH,Male,Male;Female,Not important,Education,Liberal Arts;Education;Nursing & Health Sciences;Science & Engineering;Honors College;Fine Arts;Business;Communication,Somewhat important,3,3,Not important
LsMXOyrWldTaxxa,UxtOFYCyJzGdZDu,aLFxgssKwviEqQB,gNyVnITmCHZThXt,uFbqSylpNcvYSmA,qPbJrRSuzCZBDZx,TwIavGjMVBKrbKK,Male,Female,Not important,Honors College,Liberal Arts;Education;Nursing & Health Sciences;Science & Engineering;Honors College;Fine Arts;Communication,Very important,4,2,Very important
fgTNtrbIEpPuglx,xRFOOrEphKFXhMJ,cpKUcaMjrsjiIJg,DlVFsVOsOysOgwx,FPVhxNMVDqviYAM,FIVMkOnUhRdgXvl,zDzePvFmmuaoNTp,Male,Male;Female,Somewhat important,Science & Engineering,Education;Nursing & Health Sciences,Somewhat important,4,3,Not important
FjbyPzEEYHnPgTD,xhenExBVzlcYtgq,bUHbzovSGlhaplJ,usmfhmgRIqhMEKF,jYhzAAWJaCjmWjL,yfwcJfJjnMoUoxr,KtifLpfchwmlGKJ,Male,Male,Very important,Honors College,Liberal Arts;Education;Nursing & Health Sciences;Science & Engineering;Honors College;Fine Arts;Business;Communication,Somewhat important,1,2,Somewhat important
KtMStrXNWPSpxdr,qldefhkDZbxsebr,oxnuppEvEXbVzIc,vuEcYgQKHfAtzFk,gunnNtQSfOyDmbz,EqyjSqkmZmEOtlt,DYlSNDZgDZRDecM,Male,Female,Not important,Business,Liberal Arts;Honors College;Business;Communication,Somewhat important,4,3,Somewhat important
fRpLruOMtNJQjcd,lNchTFzZNxBrxTn,YOxupXURSdLXcXO,KuDzdxzYASncFBK,OwMLKgNPsegOWhg,ZDQxSSJekWWjmQe,GUWTaqFFxpxRuNC,Female,Male,Very important,Communication,Science & Engineering,Somewhat important,1,4,Not important
ENInEXsPsqRNWzZ,NhnIbxdjqplDaYM,UntSCSAuVMUnktV,UQacvwSGEdyevRU,eAYAnedzsHUdIXt,qIxiAdVhXHMuIZo,jiImADDWIREjrIH,Male,Male,Somewhat important,Nursing & Health Sciences,Liberal Arts;Nursing & Health Sciences;Science & Engineering;Business;Communication,Not important,3,1,Very important
NjZRHPAGiDLNddq,cuCBCpTIOZSOkgv,VZwKnMEiEeTDiaS,OSHFTHpMqqFuwwo,ynwdKHIkaAwBCJI,ByDDFDcrrbLuQFL,fOETsTNAMcdvRjB,Female,Male;Female,Not important,Nursing & Health Sciences,Liberal Arts;Education;Science & Engineering;Honors College,Very important,1,2,Somewhat important
DXIMMChLGMembZF,lCBYBWMZbyVRIId,LxGnqaHObjjqhSv,NZdfixdDmbVOuSE,JfaONftyXKWlmgv,pOrHGisULSpCXtg,rHBHOZObkGXBCuA,Male,Female,Somewhat important,Communication,Liberal Arts;Education;Nursing & Health Sciences;Science & Engineering;Honors College;Business;Communication,Not important,2,2,Somewhat important
DQiTtDGhhLawZKS,euIHAwytqyCocIT,XeaPAZhnZVMblMy,NVKNjZoTNkUvRUy,GSbebwjBrfXryEV,qyrSAbYGgPHuAmU,VdkkPIruhCiTUqW,Female,Male;Female,Very important,Business,Liberal Arts;Education;Nursing & Health Sciences;Science & Engineering;Honors College;Fine Arts;Business;Communication,Somewhat important,4,1,Not important
KmfaJJhwTYNYsjz,jTxtqEdzOQrrNhk,ZZUPfakfjdcSmmQ,XIRdMpTrSFDynCB,xhGdiotBeWodbfd,gzwGnbkbcRyFlTR,wgIiIkFHIyKoidN,Female,Male,Very important,Communication,Liberal Arts;Education;Nursing & Health Sciences;Science & Engineering;Honors College;Fine Arts;Business;Communication,Very important,2,1,Somewhat important
anUUIzWDULbVnOf,AHtUAuUapqPIPcA,AAUuadeqVjausIG,KNLLtUagWuFFMav,cxOzBsmoMVkfiob,JSXXjFjEugOjPFB,VvRZcsIwpxzDAYE,Male,Male;Female,Very important,Honors College,Education;Science & Engineering;Business;Communication,Very important,2,4,Not important
BqXeXugGQigGvlo,LTzaWiTuvTvqSLg,ZiXVfEqrmxDOBeM,TNodUDLryCPXQap,MChQYHBQiSAPKyz,xAIeZnZkzmZPaGL,MdoTjpdQVabxvBE,Male,Female,Not important,Honors College,Nursing & Health Sciences;Honors College,Not important,3,4,Somewhat important
zYjGMxHHovmtlEN,CirkMtnXDaymDFK,zkeHdedzXFeIZlA,ikpETQZaHmJERLl,GfAuOwxfnmtmvvT,UCPtfXkTbgyruVh,deSeXoUQjWsUPbQ,Male,Male,Somewhat important,Nursing & Health Sciences,Science & Engineering,Very important,3,4,Somewhat important
jwCSOgSOkIGBlFo,mhefAnwekRCdBhR,hbVvrdsxdKWWvfd,NwLfmboliEsUbCd,UsJQhsBxywSJZmS,NRdMtbgxdIdauYA,tctbdyUsjdUttMK,Female,Male;Female,Not important,Honors College,Honors College,Very important,4,3,Not important
